Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
1713976,WHOSIS_000001,COUNTRY,GAB,YEAR,AFR,Africa,SEX,SEX_BTSX,2012,,,,,,,62.7 [61.9-63.6],62.66758728,61.91925134,63.61596497,,2024-08-02T09:43:39.193+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
1714116,WHOSIS_000001,COUNTRY,PHL,YEAR,WPR,Western Pacific,SEX,SEX_FMLE,2012,,,,,,,73.8 [73.6-74.1],73.79040061,73.55346561,74.13886996,,2024-08-02T09:43:39.193+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
1714403,WHOSIS_000001,COUNTRY,IDN,YEAR,SEAR,South-East Asia,SEX,SEX_FMLE,2001,,,,,,,68.7 [68.2-69.2],68.65561428,68.2308293,69.1982412,,2024-08-02T09:43:39.193+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
1714837,WHOSIS_000001,COUNTRY,MRT,YEAR,AFR,Africa,SEX,SEX_FMLE,2014,,,,,,,69.3 [68.5-70.0],69.27692167,68.50283404,69.97314405,,2024-08-02T09:43:39.193+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
1715650,WHOSIS_000001,COUNTRY,DNK,YEAR,EUR,Europe,SEX,SEX_FMLE,2005,,,,,,,80.2 [80.2-80.3],80.24266452,80.21207362,80.33252996,,2024-08-02T09:43:39.193+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
1717232,WHOSIS_000001,COUNTRY,BRN,YEAR,WPR,Western Pacific,SEX,SEX_FMLE,2001,,,,,,,77.2 [77.0-77.4],77.15996367,76.96372224,77.41134782,,2024-08-02T09:43:39.193+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
1717312,WHOSIS_000001,GLOBAL,GLOBAL,YEAR,,,SEX,SEX_MLE,2015,,,,,,,69.6 [69.2-70.1],69.62753756,69.150296,70.14573343,,2024-08-02T09:43:39.193+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
1719298,WHOSIS_000001,COUNTRY,BGR,YEAR,EUR,Europe,SEX,SEX_MLE,2002,,,,,,,68.8 [68.7-69.0],68.80044549,68.66251803,69.00452274,,2024-08-02T09:43:39.193+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
1719613,WHOSIS_000001,WORLDBANKINCOMEGROUP,WB_LI,YEAR,,,SEX,SEX_BTSX,2004,,,,,,,56.6 [55.8-57.4],56.58061879,55.75085876,57.40315913,,2024-08-02T09:43:39.193+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
1719771,WHOSIS_000001,REGION,EUR,YEAR,,,SEX,SEX_FMLE,2000,,,,,,,76.6 [76.4-76.8],76.55264765,76.44295329,76.7672563,,2024-08-02T09:43:39.193+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
1721319,WHOSIS_000001,COUNTRY,CYP,YEAR,EUR,Europe,SEX,SEX_BTSX,2013,,,,,,,81.8 [81.7-82.1],81.84969587,81.67429298,82.09763337,,2024-08-02T09:43:39.193+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
1721674,WHOSIS_000001,COUNTRY,ARG,YEAR,AMR,Americas,SEX,SEX_FMLE,2016,,,,,,,79.2 [79.2-79.3],79.18744687,79.18301293,79.25747146,,2024-08-02T09:43:39.193+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
1722634,WHOSIS_000001,COUNTRY,ATG,YEAR,AMR,Americas,SEX,SEX_BTSX,2015,,,,,,,75.6 [75.4-75.9],75.61540401,75.36800001,75.89458496,,2024-08-02T09:43:39.193+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
1723312,WHOSIS_000001,COUNTRY,KIR,YEAR,WPR,Western Pacific,SEX,SEX_FMLE,2010,,,,,,,64.7 [64.0-65.5],64.67018916,63.95719401,65.48076168,,2024-08-02T09:43:39.193+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
1725035,WHOSIS_000001,COUNTRY,NPL,YEAR,SEAR,South-East Asia,SEX,SEX_MLE,2011,,,,,,,67.9 [67.3-68.7],67.93227148,67.26060772,68.74835162,,2024-08-02T09:43:39.193+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
1725580,WHOSIS_000001,COUNTRY,NER,YEAR,AFR,Africa,SEX,SEX_MLE,2020,,,,,,,59.2 [57.8-60.5],59.23802406,57.80005183,60.48692119,,2024-08-02T09:43:39.193+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
1726328,WHOSIS_000001,COUNTRY,THA,YEAR,SEAR,South-East Asia,SEX,SEX_MLE,2021,,,,,,,71.8 [70.8-72.8],71.76037025,70.84894936,72.80938993,,2024-08-02T09:43:39.193+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
1726807,WHOSIS_000001,COUNTRY,EGY,YEAR,EMR,Eastern Mediterranean,SEX,SEX_MLE,2015,,,,,,,67.5 [67.2-67.8],67.50023556,67.23833745,67.83381795,,2024-08-02T09:43:39.193+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
1727157,WHOSIS_000001,COUNTRY,CMR,YEAR,AFR,Africa,SEX,SEX_BTSX,2001,,,,,,,52.9 [52.1-53.9],52.89875064,52.06480275,53.8912238,,2024-08-02T09:43:39.193+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
1728293,WHOSIS_000001,COUNTRY,SVN,YEAR,EUR,Europe,SEX,SEX_BTSX,2005,,,,,,,77.4 [77.4-77.6],77.44125575,77.35154126,77.58053666,,2024-08-02T09:43:39.193+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
1728910,WHOSIS_000001,COUNTRY,MEX,YEAR,AMR,Americas,SEX,SEX_FMLE,2019,,,,,,,78.9 [78.7-79.1],78.89055151,78.74507089,79.11621209,,2024-08-02T09:43:39.193+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
1729017,WHOSIS_000001,COUNTRY,BGD,YEAR,SEAR,South-East Asia,SEX,SEX_BTSX,2011,,,,,,,71.1 [70.7-71.6],71.08337441,70.67601303,71.57234383,,2024-08-02T09:43:39.193+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
1729372,WHOSIS_000001,COUNTRY,DNK,YEAR,EUR,Europe,SEX,SEX_BTSX,2001,,,,,,,77.0 [77.0-77.1],77.04219494,77.01839201,77.13149441,,2024-08-02T09:43:39.193+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
1731558,WHOSIS_000001,GLOBAL,GLOBAL,YEAR,,,SEX,SEX_MLE,2021,,,,,,,68.9 [68.4-69.6],68.89192705,68.43985144,69.57345407,,2024-08-02T09:43:39.193+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
1733112,WHOSIS_000001,COUNTRY,NPL,YEAR,SEAR,South-East Asia,SEX,SEX_FMLE,2000,,,,,,,66.5 [65.9-67.2],66.51369878,65.94771338,67.17433077,,2024-08-02T09:43:39.193+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
1733444,WHOSIS_000001,COUNTRY,ETH,YEAR,AFR,Africa,SEX,SEX_BTSX,2001,,,,,,,52.8 [52.1-53.5],52.82154779,52.14878018,53.46934251,,2024-08-02T09:43:39.193+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
1733705,WHOSIS_000001,COUNTRY,MRT,YEAR,AFR,Africa,SEX,SEX_MLE,2017,,,,,,,69.7 [68.9-70.8],69.73990751,68.91031681,70.84204957,,2024-08-02T09:43:39.193+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
1734488,WHOSIS_000001,COUNTRY,FJI,YEAR,WPR,Western Pacific,SEX,SEX_BTSX,2014,,,,,,,67.7 [67.2-68.3],67.72103011,67.21483981,68.32729732,,2024-08-02T09:43:39.193+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
1737306,WHOSIS_000001,COUNTRY,USA,YEAR,AMR,Americas,SEX,SEX_MLE,2003,,,,,,,74.6 [74.5-74.6],74.57231872,74.52082204,74.6238154,,2024-08-02T09:43:39.193+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
1737549,WHOSIS_000001,COUNTRY,CHL,YEAR,AMR,Americas,SEX,SEX_MLE,2012,,,,,,,77.1 [77.1-77.2],77.09225268,77.0712255,77.18912999,,2024-08-02T09:43:39.193+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
1737956,WHOSIS_000001,COUNTRY,ESP,YEAR,EUR,Europe,SEX,SEX_MLE,2008,,,,,,,78.0 [77.9-78.0],77.9782403,77.91485729,78.04162331,,2024-08-02T09:43:39.193+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
1738305,WHOSIS_000001,COUNTRY,LBN,YEAR,EMR,Eastern Mediterranean,SEX,SEX_FMLE,2003,,,,,,,78.0 [77.7-78.5],78.03678202,77.70231753,78.49590279,,2024-08-02T09:43:39.193+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
1739085,WHOSIS_000001,REGION,WPR,YEAR,,,SEX,SEX_BTSX,2009,,,,,,,75.0 [74.8-75.4],75.02841936,74.75026845,75.40278268,,2024-08-02T09:43:39.193+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
1739880,WHOSIS_000001,COUNTRY,GNQ,YEAR,AFR,Africa,SEX,SEX_BTSX,2010,,,,,,,60.0 [58.6-61.5],60.00998447,58.56180522,61.52642399,,2024-08-02T09:43:39.193+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
1740167,WHOSIS_000001,COUNTRY,SAU,YEAR,EMR,Eastern Mediterranean,SEX,SEX_MLE,2002,,,,,,,70.1 [69.7-70.5],70.0579779,69.67100836,70.50994421,,2024-08-02T09:43:39.193+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
1740464,WHOSIS_000001,COUNTRY,ALB,YEAR,EUR,Europe,SEX,SEX_MLE,2003,,,,,,,72.4 [71.9-72.8],72.36147281,71.91487865,72.77386335,,2024-08-02T09:43:39.193+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
1741321,WHOSIS_000001,COUNTRY,MNE,YEAR,EUR,Europe,SEX,SEX_MLE,2016,,,,,,,74.2 [74.0-74.4],74.20702713,74.04711944,74.4123349,,2024-08-02T09:43:39.193+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
1742299,WHOSIS_000001,COUNTRY,GIN,YEAR,AFR,Africa,SEX,SEX_FMLE,2019,,,,,,,62.4 [61.5-63.4],62.35581084,61.45640172,63.35681397,,2024-08-02T09:43:39.193+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
1743017,WHOSIS_000001,COUNTRY,VUT,YEAR,WPR,Western Pacific,SEX,SEX_BTSX,2006,,,,,,,65.4 [64.8-66.0],65.37131308,64.78183323,65.99365896,,2024-08-02T09:43:39.193+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
1744768,WHOSIS_000001,COUNTRY,LKA,YEAR,SEAR,South-East Asia,SEX,SEX_MLE,2019,,,,,,,74.3 [73.5-75.3],74.31605462,73.53193627,75.28331687,,2024-08-02T09:43:39.193+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
1746024,WHOSIS_000001,COUNTRY,BWA,YEAR,AFR,Africa,SEX,SEX_FMLE,2015,,,,,,,63.9 [62.8-65.2],63.90389304,62.78008881,65.18294126,,2024-08-02T09:43:39.193+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
1747480,WHOSIS_000001,COUNTRY,BLZ,YEAR,AMR,Americas,SEX,SEX_FMLE,2004,,,,,,,74.9 [74.7-75.1],74.88312972,74.68362368,75.09384628,,2024-08-02T09:43:39.193+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
1747562,WHOSIS_000001,COUNTRY,PRT,YEAR,EUR,Europe,SEX,SEX_MLE,2013,,,,,,,77.4 [77.4-77.4],77.36595799,77.35425713,77.44695366,,2024-08-02T09:43:39.193+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
1747856,WHOSIS_000001,COUNTRY,ETH,YEAR,AFR,Africa,SEX,SEX_BTSX,2003,,,,,,,54.8 [54.0-55.6],54.78484585,53.98458652,55.56521719,,2024-08-02T09:43:39.193+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
1748635,WHOSIS_000001,COUNTRY,ALB,YEAR,EUR,Europe,SEX,SEX_FMLE,2010,,,,,,,78.3 [78.0-78.8],78.34098043,77.98405438,78.82870729,,2024-08-02T09:43:39.193+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
1750586,WHOSIS_000001,COUNTRY,BTN,YEAR,SEAR,South-East Asia,SEX,SEX_BTSX,2016,,,,,,,73.3 [72.6-73.9],73.28424565,72.61706729,73.93219602,,2024-08-02T09:43:39.193+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
1751683,WHOSIS_000001,COUNTRY,TKM,YEAR,EUR,Europe,SEX,SEX_MLE,2013,,,,,,,65.5 [65.1-66.1],65.53547353,65.09398535,66.05388972,,2024-08-02T09:43:39.193+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
1751780,WHOSIS_000001,COUNTRY,MDV,YEAR,SEAR,South-East Asia,SEX,SEX_FMLE,2004,,,,,,,72.6 [72.3-73.0],72.64243386,72.34466657,72.97833609,,2024-08-02T09:43:39.193+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
1752051,WHOSIS_000001,COUNTRY,MEX,YEAR,AMR,Americas,SEX,SEX_MLE,2015,,,,,,,73.3 [73.1-73.6],73.32496192,73.13368753,73.55817675,,2024-08-02T09:43:39.193+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
1752827,WHOSIS_000001,COUNTRY,MWI,YEAR,AFR,Africa,SEX,SEX_FMLE,2004,,,,,,,48.7 [47.5-50.0],48.73794273,47.5334487,49.97692494,,2024-08-02T09:43:39.193+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
1754767,WHOSIS_000001,COUNTRY,MYS,YEAR,WPR,Western Pacific,SEX,SEX_FMLE,2014,,,,,,,76.7 [76.7-76.8],76.71751251,76.69760771,76.80625455,,2024-08-02T09:43:39.193+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
