SpatialDimType,SpatialDim,Dim1,TimeDim,NumericValue
COUNTRY,OMN,Both,2010,73.02000136
COUNTRY,ARG,Both,2020,76.22884718
COUNTRY,USA,Male,2005,75.00635287
COUNTRY,QAT,Both,2021,76.7101384
COUNTRY,ROU,Both,2000,71.14174922
COUNTRY,YEM,Both,2009,67.58534902
COUNTRY,TUN,Female,2001,77.23742203
COUNTRY,BLZ,Female,2013,77.02636356
COUNTRY,MOZ,Both,2015,55.85530982
COUNTRY,GNB,Female,2008,56.27708265
COUNTRY,SYR,Female,2011,74.17593534
COUNTRY,HTI,Both,2012,61.52991507
COUNTRY,GNB,Female,2013,59.26688342
COUNTRY,ARM,Both,2009,72.73278531
COUNTRY,SRB,Female,2019,78.46102701
COUNTRY,COL,Female,2005,77.67130766
COUNTRY,LAO,Both,2018,68.05389772
COUNTRY,KOR,Female,2011,84.1559918
COUNTRY,TGO,Female,2007,59.72909114
COUNTRY,TCD,Both,2010,55.72346132
COUNTRY,GIN,Male,2013,57.7310014
COUNTRY,CPV,Both,2014,74.86891105
COUNTRY,JOR,Both,2003,73.51735567
WORLDBANKINCOMEGROUP,WB_HI,Female,2009,82.30135803
COUNTRY,CIV,Male,2002,50.38076301
COUNTRY,BLR,Male,2010,64.51582706
COUNTRY,GIN,Both,2001,54.67176541
COUNTRY,TZA,Male,2021,65.23878398
COUNTRY,PRK,Male,2000,59.63947494
COUNTRY,SVN,Female,2013,83.12497156
COUNTRY,VNM,Female,2019,77.99629809
COUNTRY,SDN,Female,2014,69.24778387
COUNTRY,KWT,Male,2005,76.58511286
COUNTRY,IRQ,Female,2004,72.25801465
COUNTRY,MDA,Female,2008,72.0430241
COUNTRY,EST,Male,2005,67.44947782
COUNTRY,OMN,Male,2014,71.82010186
COUNTRY,NAM,Female,2005,54.9346382
COUNTRY,CAF,Both,2017,51.26742466
COUNTRY,BIH,Female,2002,78.84137907
COUNTRY,ITA,Female,2018,84.76618615
COUNTRY,SAU,Male,2004,70.64261531
COUNTRY,JOR,Female,2000,72.29803107
COUNTRY,COM,Both,2010,65.96560133
COUNTRY,SYR,Female,2016,70.32472717
COUNTRY,DOM,Both,2021,73.32102758
COUNTRY,GIN,Both,2007,57.16190125
COUNTRY,KHM,Both,2018,69.35586113
COUNTRY,SVN,Both,2003,76.34395429
COUNTRY,BGD,Female,2018,74.98281236
COUNTRY,CPV,Male,2009,70.54635459
COUNTRY,COD,Male,2001,51.31122122
COUNTRY,MDV,Female,2014,78.79082397
COUNTRY,ISL,Female,2002,82.1524338
COUNTRY,HRV,Male,2012,74.00542459
COUNTRY,KIR,Female,2021,63.95900121
COUNTRY,LTU,Male,2004,66.1784438
COUNTRY,IRN,Both,2015,77.27827213
COUNTRY,YEM,Female,2005,67.35272777
COUNTRY,ETH,Female,2007,60.87987265
COUNTRY,PSE,Male,2014,72.40557778
COUNTRY,GUY,Female,2013,69.66741275
COUNTRY,MMR,Female,2008,58.23921608
WORLDBANKINCOMEGROUP,WB_HI,Both,2017,80.58823029
COUNTRY,BFA,Female,2016,63.73359272
COUNTRY,AUT,Both,2015,80.98621911
COUNTRY,COM,Male,2002,62.33172761
REGION,AMR,Male,2007,73.07132204
COUNTRY,BOL,Female,2001,67.82353175
COUNTRY,EGY,Male,2013,67.64863827
COUNTRY,ISL,Male,2014,80.6440713
COUNTRY,AFG,Female,2011,60.04935162
COUNTRY,YEM,Both,2000,63.08164608
COUNTRY,BDI,Female,2007,57.45138757
COUNTRY,ISL,Both,2012,81.9847692
COUNTRY,ERI,Both,2004,57.68987112
COUNTRY,ZWE,Female,2004,45.54867439
COUNTRY,SDN,Male,2010,65.80031392
COUNTRY,POL,Male,2000,69.50937301
COUNTRY,ISL,Both,2017,82.27340584
COUNTRY,AZE,Female,2014,74.65631741
COUNTRY,KWT,Female,2008,81.124831
COUNTRY,MWI,Both,2008,54.26093144
COUNTRY,IRN,Male,2003,71.81299841
COUNTRY,TUN,Female,2003,77.62869242
COUNTRY,BFA,Male,2007,54.85856538
COUNTRY,GNB,Both,2009,54.71780339
COUNTRY,NOR,Female,2002,81.33076094
COUNTRY,NGA,Male,2003,54.35301016
COUNTRY,GIN,Female,2018,61.81988032
COUNTRY,RWA,Both,2011,65.04603076
COUNTRY,PHL,Male,2006,65.33496456
COUNTRY,ARG,Male,2021,71.59453095
COUNTRY,VNM,Male,2013,68.48027649
COUNTRY,BEN,Male,2016,60.64748058
WORLDBANKINCOMEGROUP,WB_LI,Female,2014,64.27935275
COUNTRY,CUB,Female,2013,80.40443554
COUNTRY,LTU,Both,2013,73.86695735
COUNTRY,MNG,Both,2009,66.92759176
COUNTRY,ECU,Male,2014,74.38904772
COUNTRY,VUT,Male,2013,63.61931487
COUNTRY,NLD,Male,2003,76.18943002
COUNTRY,GNQ,Female,2001,56.25439298
COUNTRY,MRT,Female,2021,69.36220641
COUNTRY,CAN,Female,2012,83.39325444
COUNTRY,AZE,Male,2009,66.69680049
COUNTRY,SVK,Both,2017,77.09456027
COUNTRY,LBR,Both,2015,60.37754989
COUNTRY,IRN,Both,2019,77.78361908
